referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado,carpeta_imagen,fondo_o_procedencia,tipo_clasificacion,criterio_clasificacion,uso_recomendado
52037,1976 - 1976,"Leticia Campo, Cantinera de la Banda de Música del Alarde (1976). Donación de...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52037,https://www.irun.org/fototeca/fcruz194/52037.tif,fcruz194,Procedencia truncada o sin identificar,pendiente,"La descripción web indica donación, cesión u origen familiar, pero el listado no muestra la procedencia completa",revisar_ficha_o_base_archivo
52038,1975 - 1977,Integrantes y Cantinera de una Compañía de Infantería a su paso por la plaza...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52038,https://www.irun.org/fototeca/fcruz194/52038.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52039,1975 - 1975,Espectadores esperando el paso del Alarde en los jardines de Luis Mariano...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52039,https://www.irun.org/fototeca/fcruz194/52039.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52040,1977 - 1978,Concentración de las fuerzas del Alarde en la plaza San Juan Harria (1977 ó...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52040,https://www.irun.org/fototeca/fcruz194/52040.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52041,1976 - 1977,"Cantinera del Alarde (muy posiblemente Milagros Sorzabalbere, de Santa Elena en...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52041,https://www.irun.org/fototeca/fcruz194/52041.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52042,1976 - 1976,Escuadra de Hacheros durante la subida de la iglesia por la mañana (1976)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52042,https://www.irun.org/fototeca/fcruz194/52042.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52043,1979 - 1979,Entrada a galope de los Ayudantes del General en la plaza San Juan Harria...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52043,https://www.irun.org/fototeca/fcruz194/52043.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52044,1977 - 1978,Compañía de Infantería del Alarde a su paso por Larretxipi (1977 ó 1978)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52044,https://www.irun.org/fototeca/fcruz194/52044.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52045,1979 - 1979,"El General, el Comandante y el Ayudante de Infantería durante la concentración...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52045,https://www.irun.org/fototeca/fcruz194/52045.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52046,1979 - 1979,"Entrada a galope de los Ayudantes del General en la plaza San Juan Harria,...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52046,https://www.irun.org/fototeca/fcruz194/52046.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52047,1979 - 1979,Entrada a galope del General del Alarde en la plaza San Juan Harria (1979)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52047,https://www.irun.org/fototeca/fcruz194/52047.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52048,1979 - 1979,"Ramón Requejo, Ayudante de Caballería, durante la concentración en la plaza San...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52048,https://www.irun.org/fototeca/fcruz194/52048.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52049,1979 - 1979,Integrantes del Alarde en la plaza San Juan Harria (1979). Donación de Felipe...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52049,https://www.irun.org/fototeca/fcruz194/52049.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52050,1979 - 1979,Concentración de las fuerzas del Alarde en la plaza San Juan Harria (1979)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52050,https://www.irun.org/fototeca/fcruz194/52050.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52051,1979 - 1979,Integrantes de la Tamborrada durante la concentración de las fuerzas del Alarde...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52051,https://www.irun.org/fototeca/fcruz194/52051.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52052,1979 - 1979,Integrantes de la Banda de Música del Alarde (1979). Donación de Felipe Iguiñiz,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52052,https://www.irun.org/fototeca/fcruz194/52052.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52053,1976 - 1976,"Javier Altuna, Tambor Mayor, dirigiendo a la Tamborrada del Alarde (1976)....",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52053,https://www.irun.org/fototeca/fcruz194/52053.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52054,1977 - 1978,"Javier Altuna, Tambor Mayor, dirigiendo a la Tamborrada (1977 ó 1978). Donación...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52054,https://www.irun.org/fototeca/fcruz194/52054.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52055,1976 - 1978,Retrato de familia en la plaza del Ensanche un día de San Marcial de entre...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52055,https://www.irun.org/fototeca/fcruz194/52055.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52056,1976 - 1976,Escuadra de Hacheros durante la subida de la iglesia por la mañana (1976)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52056,https://www.irun.org/fototeca/fcruz194/52056.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
