referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado
1824,1961 - 1961,"Natividad Arregui, Cantinera de la escolta de Caballería del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1824,https://www.irun.org/fototeca/fcruzpe1/1824.jpg
1825,1961 - 1961,"Elena Díaz, cantinera de la Compañía Uranzu del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1825,https://www.irun.org/fototeca/fcruzpe1/1825.jpg
1826,1961 - 1961,"Elena Díaz, cantinera de la Compañía Uranzu del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1826,https://www.irun.org/fototeca/fcruzpe1/1826.jpg
1827,1961 - 1961,"Nieves Urchegui, cantinera de la Compañía Anaka del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1827,https://www.irun.org/fototeca/fcruzpe1/1827.jpg
1828,1961 - 1961,"Concepción Bermejo, cantinera de la Compañía Real Unión del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1828,https://www.irun.org/fototeca/fcruzpe1/1828.jpg
1829,1961 - 1961,"Concepción Bermejo, cantinera de la Compañía Real Unión del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1829,https://www.irun.org/fototeca/fcruzpe1/1829.jpg
1830,1961 - 1961,"Juanita Echeverria, cantinera de la Compañía Behobia del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1830,https://www.irun.org/fototeca/fcruzpe1/1830.jpg
1831,1961 - 1961,"Juanita Echeverria, cantinera de la Compañía Behobia del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1831,https://www.irun.org/fototeca/fcruzpe1/1831.jpg
1832,1952 - 1952,"Mª Paz Behobide Montero, cantinera de la Compañía Santiago del Alarde en 1952",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1832,https://www.irun.org/fototeca/fcruzpe1/1832.jpg
1833,1964 - 1964,"Mercedes Retegui, cantinera de la Compañía Olaberria del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1833,https://www.irun.org/fototeca/fcruzpe1/1833.jpg
1834,1964 - 1964,"Mercedes Retegui, cantinera de la Compañía Olaberria del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1834,https://www.irun.org/fototeca/fcruzpe1/1834.jpg
1835,1964 - 1964,"Mercedes Retegui, cantinera de la Compañía Olaberria del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1835,https://www.irun.org/fototeca/fcruzpe1/1835.jpg
1836,1965 - 1965,"María Jesús Martiarena, cantinera de la Compañía Anaka del Alarde (1965)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1836,https://www.irun.org/fototeca/fcruzpe1/1836.jpg
1837,1964 - 1964,"María Teresa Echenique, cantinera de la Compañía Anaka (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1837,https://www.irun.org/fototeca/fcruzpe1/1837.jpg
1838,1964 - 1964,"María Lolo Echezarreta, cantinera de la escolta de Caballería del Alarde de...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1838,https://www.irun.org/fototeca/fcruzpe1/1838.jpg
1839,1968 - 1968,"Carmen Manterola, cantinera de la Compañía San Miguel del Alarde (1968)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1839,https://www.irun.org/fototeca/fcruzpe1/1839.jpg
1841,1963 - 1963,"Isabel Echeverria, cantinera de la Compañía Behobia del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1841,https://www.irun.org/fototeca/fcruzpe1/1841.jpg
1842,1963 - 1963,"Isabel Echeverria, cantinera de la Compañía Behobia del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1842,https://www.irun.org/fototeca/fcruzpe1/1842.jpg
1843,1963 - 1963,"Miren Iruretagoiena Amiano, cantinera de la Compañía Meaka del Alarde en 1963",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1843,https://www.irun.org/fototeca/fcruzpe1/1843.jpg
1844,1963 - 1963,"Miren Iruretagoiena Amiano, cantinera de la Compañía Meaka del Alarde en 1963",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1844,https://www.irun.org/fototeca/fcruzpe1/1844.jpg
1845,1963 - 1963,"Juncal Garmendia Arocena, cantinera de la Compañía Bidasoa del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1845,https://www.irun.org/fototeca/fcruzpe1/1845.jpg
1846,1964 - 1964,"Paloma Calabuig, cantinera de la Compañía Real Unión del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1846,https://www.irun.org/fototeca/fcruzpe1/1846.jpg
1847,1964 - 1964,"Paloma Calabuig, cantinera de la Compañía Real Unión del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1847,https://www.irun.org/fototeca/fcruzpe1/1847.jpg
1848,1964 - 1964,"Paloma Calabuig, cantinera de la Compañía Real Unión del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1848,https://www.irun.org/fototeca/fcruzpe1/1848.jpg
1849,1964 - 1964,"Paloma Calabuig, cantinera de la Compañía Real Unión del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1849,https://www.irun.org/fototeca/fcruzpe1/1849.jpg
1851,1963 - 1963,"Merche Gende, cantinera de la Ccompañía Ventas del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1851,https://www.irun.org/fototeca/fcruzpe1/1851.jpg
1852,1964 - 1964,"María Luisa Ado, cantinera de la Compañía Ventas del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1852,https://www.irun.org/fototeca/fcruzpe1/1852.jpg
1853,1964 - 1964,"Maribel Gómez, cantinera de la Banda de Música del Alarde de Irun (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1853,https://www.irun.org/fototeca/fcruzpe1/1853.jpg
1854,1963 - 1963,"Carmen Arrecubieta, cantinera de la Tamborrada del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1854,https://www.irun.org/fototeca/fcruzpe1/1854.jpg
1855,1963 - 1963,"Carmen Arrecubieta, cantinera de la Tamborrada del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1855,https://www.irun.org/fototeca/fcruzpe1/1855.jpg
1856,1963 - 1963,"Carmen Arrecubieta, cantinera de la Tamborrada del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1856,https://www.irun.org/fototeca/fcruzpe1/1856.jpg
1857,1963 - 1963,"Carmen Arrecubieta, cantinera de la Tamborrada del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1857,https://www.irun.org/fototeca/fcruzpe1/1857.jpg
