Documento,Publicacion,Fecha / numero,Caracteres extraidos,Estado de texto,Pasajes localizados
/home/gaizka/Alarde/Programas de fiestas/1991C.pdf,Programa de fiestas,1991C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991D.pdf,Programa de fiestas,1991D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991E.pdf,Programa de fiestas,1991E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991F.pdf,Programa de fiestas,1991F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991G.pdf,Programa de fiestas,1991G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991H.pdf,Programa de fiestas,1991H,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992A.pdf,Programa de fiestas,1992A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992B.pdf,Programa de fiestas,1992B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992C.pdf,Programa de fiestas,1992C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992D.pdf,Programa de fiestas,1992D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992E.pdf,Programa de fiestas,1992E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992F.pdf,Programa de fiestas,1992F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992G.pdf,Programa de fiestas,1992G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992H.pdf,Programa de fiestas,1992H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1992I.pdf,Programa de fiestas,1992I,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993A.pdf,Programa de fiestas,1993A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993B.pdf,Programa de fiestas,1993B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993C.pdf,Programa de fiestas,1993C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993D.pdf,Programa de fiestas,1993D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993E.pdf,Programa de fiestas,1993E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993F.pdf,Programa de fiestas,1993F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993G.pdf,Programa de fiestas,1993G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993H.pdf,Programa de fiestas,1993H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1993I.pdf,Programa de fiestas,1993I,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994A.pdf,Programa de fiestas,1994A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994B.pdf,Programa de fiestas,1994B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994C.pdf,Programa de fiestas,1994C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994D.pdf,Programa de fiestas,1994D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994E.pdf,Programa de fiestas,1994E,6,sin texto suficiente,0
